Metric,Value
completeness.events_with_complete_data,0
completeness.schema_coverage_percentage,100.0
completeness.population_completeness_percentage,0.0
completeness.class_usage_efficiency_percentage,0.26
completeness.status,computed
completeness.property_usage_sample.http://semanticweb.cs.vu.nl/2009/11/sem/hasActor,1378
completeness.property_usage_sample.http://semanticweb.cs.vu.nl/2009/11/sem/hasPlace,789
completeness.property_usage_sample.http://www.w3.org/1999/02/22-rdf-syntax-ns#type,380
completeness.property_usage_sample.http://semanticweb.cs.vu.nl/2009/11/sem/hasBeginTimeStamp,343
completeness.property_usage_sample.http://semanticweb.cs.vu.nl/2009/11/sem/hasEndTimeStamp,343
completeness.property_usage_sample.http://semanticweb.cs.vu.nl/2009/11/sem/subEventOf,58
completeness.counting_method,exact_file_scan
completeness.event_population,direct sem:Event instances
completeness.required_profile,"['rdfs:label', 'sem:hasBeginTimeStamp or sem:hasEndTimeStamp', 'sem:hasPlace']"
completeness.population_completeness.total_events,380
completeness.population_completeness.events_with_label,0
completeness.population_completeness.events_with_temporal,343
completeness.population_completeness.events_with_location,362
completeness.population_completeness.fully_complete_events,0
completeness.population_completeness.label_coverage_rate,0.0
completeness.population_completeness.temporal_coverage_rate,90.26
completeness.population_completeness.location_coverage_rate,95.26
completeness.population_completeness.population_completeness_rate,0.0
completeness.population_completeness.status,computed
completeness.population_completeness.counting_method,exact_file_scan
completeness.population_completeness.event_population,direct sem:Event instances
completeness.population_completeness.required_profile,"['rdfs:label', 'sem:hasBeginTimeStamp or sem:hasEndTimeStamp', 'sem:hasPlace']"
--- TYPE CONSISTENCY METRICS ---,
type_consistency.properties_analyzed,0
type_consistency.properties_with_violations,0
type_consistency.average_domain_conformity,
type_consistency.average_range_conformity,
type_consistency.overall_type_consistency,
type_consistency.applicable_domain_checks,0
type_consistency.domain_violations_total,0
type_consistency.applicable_range_checks,0
type_consistency.range_violations_total,0
type_consistency.applicable_consistency_checks,0
type_consistency.total_property_usages_examined,0
type_consistency.status,not_applicable_no_used_constrained_triples
type_consistency.aggregation,evidence-weighted applicable checks
type_consistency.consistency_interpretation,No declared constraints applied to used triples; no score is reported.
type_consistency.property_details,[]
type_consistency.inference_enabled,False
type_consistency.open_world_caveat,Missing explicit class assertions count as non-alignment under this closed profile; they are not RDF/OWL logical inconsistencies. rdfs:Resource and rdfs:Literal are handled according to their RDF semantics.
type_consistency.max_properties_configured,50
--- ENTITY RICHNESS METRICS ---,
entity_richness.avg_properties_per_event,3.83
entity_richness.median_properties_per_event,4.0
entity_richness.std_dev_properties,0.96
entity_richness.sparse_entities_percentage,9.47
entity_richness.total_events_analyzed,380
entity_richness.status,computed
entity_richness.counting_unit,distinct outgoing predicates excluding rdf:type
entity_richness.sparse_threshold,fewer than 3 distinct outgoing predicates
--- MAPPING COVERAGE METRICS ---,
mapping_coverage.total_events,380
mapping_coverage.events_with_external_links,0
mapping_coverage.events_linked_to_wikidata,0
mapping_coverage.events_linked_to_dbpedia,0
mapping_coverage.external_link_rate,0.0
mapping_coverage.wikidata_coverage,0.0
mapping_coverage.dbpedia_coverage,0.0
mapping_coverage.status,computed
--- PREDICATE USAGE METRICS ---,
predicate_usage.total_unique_predicates,6
predicate_usage.total_triples,3291
predicate_usage.top_10_concentration,100.0
predicate_usage.singleton_predicates,0
predicate_usage.gini_coefficient,0.4039
predicate_usage.shannon_entropy,2.1622
predicate_usage.normalized_shannon_entropy,0.8364
predicate_usage.hhi_concentration,0.2682
predicate_usage.status,computed
